X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
5.481996387243270874e-02,2.053053081035614014e-01,-3.173429071903228760e-01,-2.923799753189086914e-01,-2.451343774795532227e+00,-1.420237898826599121e+00,2.457409143447875977e+00,-2.514535427093505859e+00,-2.403277004547873297e+00,-1.044927250146683972e+00,2.797730477490376622e+00,-3.694243069499219434e+00
5.086451023817062378e-02,2.054816484451293945e-01,-3.180684447288513184e-01,-2.935862541198730469e-01,-2.457452535629272461e+00,-1.441259741783142090e+00,2.476030826568603516e+00,-2.521935462951660156e+00,-2.403214366457298912e+00,-1.075573189947517827e+00,2.823486511919325537e+00,-3.681073087944051636e+00
4.695103317499160767e-02,2.056685239076614380e-01,-3.187421560287475586e-01,-2.947525084018707275e-01,-2.463381767272949219e+00,-1.461916565895080566e+00,2.494259357452392578e+00,-2.529003858566284180e+00,-2.403152013056684133e+00,-1.105847183976874204e+00,2.848556436855912199e+00,-3.667800655092661621e+00
4.307968169450759888e-02,2.058653980493545532e-01,-3.193652927875518799e-01,-2.958787977695465088e-01,-2.469130754470825195e+00,-1.482210993766784668e+00,2.512093544006347656e+00,-2.535744667053222656e+00,-2.403090040756738599e+00,-1.135745029563810071e+00,2.872949535864723902e+00,-3.654428507987641961e+00
3.925067186355590820e-02,2.060718387365341187e-01,-3.199392557144165039e-01,-2.969651818275451660e-01,-2.474699020385742188e+00,-1.502145290374755859e+00,2.529534339904785156e+00,-2.542161703109741211e+00,-2.403028537331799441e+00,-1.165262957978519864e+00,2.896674983369472933e+00,-3.640959342836396662e+00
3.546409308910369873e-02,2.062875032424926758e-01,-3.204651474952697754e-01,-2.980120778083801270e-01,-2.480088710784912109e+00,-1.521721124649047852e+00,2.546582937240600586e+00,-2.548259258270263672e+00,-2.402967582920984224e+00,-1.194397166502588981e+00,2.919741902047925830e+00,-3.627395831319376818e+00
3.172028064727783203e-02,2.065114378929138184e-01,-3.209444284439086914e-01,-2.990198433399200439e-01,-2.485297203063964844e+00,-1.540940046310424805e+00,2.563240528106689453e+00,-2.554041147232055664e+00,-2.402907251519416310e+00,-1.223142280118012515e+00,2.942159551424457398e+00,-3.613740674176972423e+00
2.801920473575592041e-02,2.067436128854751587e-01,-3.213780522346496582e-01,-2.999884486198425293e-01,-2.490326166152954102e+00,-1.559805393218994141e+00,2.579506874084472656e+00,-2.559511184692382812e+00,-2.402847606111339740e+00,-1.251496341829489101e+00,2.963936715978461756e+00,-3.599996427346003447e+00
2.436089515686035156e-02,2.069833725690841675e-01,-3.217676281929016113e-01,-3.009181618690490723e-01,-2.495175361633300781e+00,-1.578321099281311035e+00,2.595385551452636719e+00,-2.564675331115722656e+00,-2.402788704168786094e+00,-1.279456476536996679e+00,2.985082236887267371e+00,-3.586165653049710134e+00
2.074554562568664551e-02,2.072304338216781616e-01,-3.221139609813690186e-01,-3.018094897270202637e-01,-2.499846220016479492e+00,-1.596487283706665039e+00,2.610876560211181641e+00,-2.569536685943603516e+00,-2.402730596542173469e+00,-1.307020091416136953e+00,3.005604864826270539e+00,-3.572250877972205529e+00
1.717317104339599609e-02,2.074842751026153564e-01,-3.224183917045593262e-01,-3.026625514030456543e-01,-2.504338264465332031e+00,-1.614307880401611328e+00,2.625982046127319336e+00,-2.574100017547607422e+00,-2.402673327851684082e+00,-1.334184864449555308e+00,3.025513261381757246e+00,-3.558254593659947673e+00
1.364371180534362793e-02,2.077444195747375488e-01,-3.226820230484008789e-01,-3.034774065017700195e-01,-2.508651256561279297e+00,-1.631785750389099121e+00,2.640702486038208008e+00,-2.578368186950683594e+00,-2.402616936869691688e+00,-1.360948732940534089e+00,3.044816000463882677e+00,-3.544179256923202459e+00
1.015736162662506104e-02,2.080108523368835449e-01,-3.229057490825653076e-01,-3.042546212673187256e-01,-2.512787818908691406e+00,-1.648922681808471680e+00,2.655040979385375977e+00,-2.582346677780151367e+00,-2.402561456893669511e+00,-1.387309882008330275e+00,3.063521569719581450e+00,-3.530027290237514936e+00
6.713926792144775391e-03,2.082829326391220093e-01,-3.230908513069152832e-01,-3.049943149089813232e-01,-2.516747474670410156e+00,-1.665722846984863281e+00,2.668998718261718750e+00,-2.586039543151855469e+00,-2.402506916109121260e+00,-1.413266733063445413e+00,3.081638371945442767e+00,-3.515801082145173062e+00
